outcome,model,rri_variable,first_event_only,N,beta_RRI10,se_cluster,p_cluster,r2,raw_regressors,kept_regressors,matrix_rank,dropped_redundant,note
roa_post,P0,AnnualRRI10,0,225,0.0020831866813127635,0.004658979776598731,0.6547785566482898,0.0008313146101316393,2,2,2,,
roa_post,P1,AnnualRRI10,0,225,0.0025712754921875117,0.004514453680047699,0.568972670340923,0.04013010420668184,3,3,3,,
roa_post,P2,AnnualRRI10,0,189,-0.002875654407233204,0.0029857596222843696,0.33548569273875084,0.27309309424838435,20,20,20,,
roa_post,P3,AnnualRRI10,0,189,-0.00014920739888148586,0.003593297704933899,0.9668783143127903,0.5041048861029127,72,67,67,industry_code_t_A03;industry_code_t_B07;industry_code_t_E50;industry_code_t_Q83;industry_code_t_nan,
roa_post,P3,AnnualRRI10,1,179,-0.0011374898821295202,0.0038816731676015142,0.7694907155483891,0.49973352708097807,72,67,67,industry_code_t_A03;industry_code_t_B07;industry_code_t_E50;industry_code_t_Q83;industry_code_t_nan,
roa_post,P3,AnnualRRI_median_event_10,0,189,-0.00014920739914165,0.003593297705057619,0.9668783142562108,0.504104886102934,72,67,67,industry_code_t_A03;industry_code_t_B07;industry_code_t_E50;industry_code_t_Q83;industry_code_t_nan,
roa_post,P3,AnnualRRI_min_event_10,0,189,-0.00016406865475683335,0.0035859529044214166,0.9635069975296635,0.5041061716988227,72,67,67,industry_code_t_A03;industry_code_t_B07;industry_code_t_E50;industry_code_t_Q83;industry_code_t_nan,
sales_growth_post,P3,AnnualRRI10,0,139,-0.009109395832130053,0.02098503646961924,0.6642230401631731,0.6307772883377039,72,62,62,industry_code_t_A03;industry_code_t_B07;industry_code_t_C24;industry_code_t_C33;industry_code_t_E50;industry_code_t_I63;industry_code_t_Q83;industry_code_t_R86;industry_code_t_nan;rri_year_2024,
asset_turnover_post,P3,AnnualRRI10,0,140,-0.030338439537332562,0.027244982106964848,0.26547559968225787,0.709154429440181,72,63,63,industry_code_t_A03;industry_code_t_B07;industry_code_t_C24;industry_code_t_C33;industry_code_t_E50;industry_code_t_Q83;industry_code_t_R86;industry_code_t_nan;rri_year_2024,
operating_margin_post,P3,AnnualRRI10,0,189,-0.008452387028620102,0.009998304963412539,0.39789759214538445,0.5559524122434347,72,67,67,industry_code_t_A03;industry_code_t_B07;industry_code_t_E50;industry_code_t_Q83;industry_code_t_nan,
delta_roa,D2,AnnualRRI10,0,189,-0.00039240241004354694,0.004482643869520862,0.9302437520998569,0.3200346638321836,71,66,66,industry_code_t_A03;industry_code_t_B07;industry_code_t_E50;industry_code_t_Q83;industry_code_t_nan,
delta_sales_growth,D2,AnnualRRI10,0,139,0.025829316228054098,0.028193343938551982,0.3595885203487007,0.5718320583250205,71,61,61,industry_code_t_A03;industry_code_t_B07;industry_code_t_C24;industry_code_t_C33;industry_code_t_E50;industry_code_t_I63;industry_code_t_Q83;industry_code_t_R86;industry_code_t_nan;rri_year_2024,
delta_asset_turnover,D2,AnnualRRI10,0,140,-0.030345839283115017,0.026722915849104908,0.2561350389204683,0.5559575401441126,71,62,62,industry_code_t_A03;industry_code_t_B07;industry_code_t_C24;industry_code_t_C33;industry_code_t_E50;industry_code_t_Q83;industry_code_t_R86;industry_code_t_nan;rri_year_2024,
delta_operating_margin,D2,AnnualRRI10,0,189,-0.0033535471823717177,0.013552691416510778,0.8045637686728706,0.35058820110201794,71,66,66,industry_code_t_A03;industry_code_t_B07;industry_code_t_E50;industry_code_t_Q83;industry_code_t_nan,
