event_id,firm_code,firm_name,exchange,response_date,EventRRI_mean,rri_q,period,event_type,pre_start,pre_end,post_start,post_end
EVENT00191,002591,恒大高新,SZSE,2017-04-19,44.8,1,2015-2017,Concern Letter,2017-01-19,2017-04-18,2017-04-20,2017-07-18
EVENT00029,600577,精达股份,SSE,2017-09-27,39.66666666666666,1,2015-2017,Other Inquiry,2017-06-29,2017-09-26,2017-09-28,2017-12-26
EVENT00221,002604,龙力生物,SZSE,2018-01-05,40.0,1,2018-2020,Concern Letter,2017-10-07,2018-01-04,2018-01-06,2018-04-05
EVENT00230,002390,信邦制药,SZSE,2018-05-04,26.666666666666668,1,2018-2020,Concern Letter,2018-02-03,2018-05-03,2018-05-05,2018-08-02
EVENT00076,601666,平煤股份,SSE,2022-04-14,42.66666666666666,1,2021-2024,Other Inquiry,2022-01-14,2022-04-13,2022-04-15,2022-07-13
EVENT00099,603051,鹿山新材,SSE,2024-06-13,35.6,1,2021-2024,Other Inquiry,2024-03-15,2024-06-12,2024-06-14,2024-09-11
EVENT00124,600226,升华拜克,SSE,2015-11-11,65.3,2,2015-2017,Other Inquiry,2015-08-13,2015-11-10,2015-11-12,2016-02-09
EVENT00220,600599,熊猫金控,SSE,2017-12-20,62.0,2,2015-2017,Other Inquiry,2017-09-21,2017-12-19,2017-12-21,2018-03-20
EVENT00229,601969,海南矿业,SSE,2018-04-28,64.5,2,2018-2020,Other Inquiry,2018-01-28,2018-04-27,2018-04-29,2018-07-27
EVENT00058,300004,南风股份,SZSE,2020-09-07,65.2,2,2018-2020,Periodic Report Inquiry,2020-06-09,2020-09-06,2020-09-08,2020-12-06
EVENT00067,000762,西藏矿业,SZSE,2021-11-26,52.75,2,2021-2024,Concern Letter,2021-08-28,2021-11-25,2021-11-27,2022-02-24
EVENT00078,600211,西藏药业,SSE,2022-08-26,62.6,2,2021-2024,Other Inquiry,2022-05-28,2022-08-25,2022-08-27,2022-11-24
EVENT00177,600764,中电广通,SSE,2016-11-30,67.82642857142856,3,2015-2017,M&A / Restructuring,2016-09-01,2016-11-29,2016-12-01,2017-02-28
EVENT00182,002707,众信旅游,SZSE,2017-02-11,66.5,3,2015-2017,M&A / Restructuring,2016-11-13,2017-02-10,2017-02-12,2017-05-12
EVENT00232,603877,太平鸟,SSE,2018-05-16,70.0,3,2018-2020,Other Inquiry,2018-02-15,2018-05-15,2018-05-17,2018-08-14
EVENT00047,603789,星光农机,SSE,2019-09-21,69.36363636363636,3,2018-2020,Other Inquiry,2019-06-23,2019-09-20,2019-09-22,2019-12-20
EVENT00065,300140,中环装备,SZSE,2021-05-28,68.57142857142857,3,2021-2024,Periodic Report Inquiry,2021-02-27,2021-05-27,2021-05-29,2021-08-26
EVENT00073,300261,雅本化学,SZSE,2022-02-17,69.0,3,2021-2024,Concern Letter,2021-11-19,2022-02-16,2022-02-18,2022-05-18
EVENT00109,300083,劲胜精密,SZSE,2015-08-17,71.72727272727273,4,2015-2017,M&A / Restructuring,2015-05-19,2015-08-16,2015-08-18,2015-11-15
EVENT00129,002301,齐心集团,SZSE,2015-11-19,73.42857142857143,4,2015-2017,M&A / Restructuring,2015-08-21,2015-11-18,2015-11-20,2016-02-17
EVENT00228,002509,天广中茂,SZSE,2018-04-24,72.0,4,2018-2020,Concern Letter,2018-01-24,2018-04-23,2018-04-25,2018-07-23
EVENT00056,002438,江苏神通,SZSE,2020-07-07,76.5,4,2018-2020,Concern Letter,2020-04-08,2020-07-06,2020-07-08,2020-10-05
EVENT00094,002253,川大智胜,SZSE,2024-04-30,72.66666666666667,4,2021-2024,Periodic Report Inquiry,2024-01-31,2024-04-29,2024-05-01,2024-07-29
EVENT00095,603300,华铁应急,SSE,2024-05-10,75.0,4,2021-2024,Other Inquiry,2024-02-10,2024-05-09,2024-05-11,2024-08-08
EVENT00179,300143,星河生物,SZSE,2016-12-15,81.0,5,2015-2017,M&A / Restructuring,2016-09-16,2016-12-14,2016-12-16,2017-03-15
EVENT00180,600890,中房股份,SSE,2017-12-29,96.5,5,2015-2017,M&A / Restructuring,2017-09-30,2017-12-28,2017-12-30,2018-03-29
EVENT00033,000703,恒逸石化,SZSE,2018-04-03,77.375,5,2018-2020,M&A / Restructuring,2018-01-03,2018-04-02,2018-04-04,2018-07-02
EVENT00039,603703,盛洋科技,SSE,2018-10-13,88.66666666666667,5,2018-2020,M&A / Restructuring,2018-07-15,2018-10-12,2018-10-14,2019-01-11
EVENT00069,600389,江山股份,SSE,2021-12-09,98.0,5,2021-2024,Other Inquiry,2021-09-10,2021-12-08,2021-12-10,2022-03-09
EVENT00070,603843,正平股份,SSE,2021-12-13,77.66666666666667,5,2021-2024,M&A / Restructuring,2021-09-14,2021-12-12,2021-12-14,2022-03-13
