firm_code,rri_year,AnnualRRI_mean,AnnualRRI_median_event,AnnualRRI_min_event,AnnualRRI_max_event,AnnualRRI10,total_questions,n_events,event_type,event_ids,first_rri_firm_year,pre_outcome_year,control_year,outcome_year
000007,2016,55.875,55.875,55.875,55.875,5.5875,8,1,Concern,EVENT00178,1,2015,2016,2017
000010,2015,57.5,57.5,57.5,57.5,5.75,6,1,Concern,EVENT00140,1,2014,2015,2016
000025,2017,38.0,38.0,38.0,38.0,3.8,5,1,Periodic,EVENT00205,1,2016,2017,2018
000034,2016,65.0,65.0,65.0,65.0,6.5,4,1,M&A,EVENT00152,1,2015,2016,2017
000038,2017,44.2,44.2,44.2,44.2,4.42,5,1,Concern,EVENT00218,1,2016,2017,2018
000150,2018,66.2,66.2,66.2,66.2,6.62,5,1,Concern,EVENT00224,1,2017,2018,2019
000403,2017,55.87,55.870000000000005,55.87,55.87,5.587,11,1,Periodic,EVENT00201,1,2016,2017,2018
000504,2016,69.33333333,69.33333333333333,69.33333333,69.33333333,6.933333333,3,1,Concern,EVENT00156,1,2015,2016,2017
000504,2017,57.33333333,57.333333333333336,57.33333333,57.33333333,5.733333333,3,1,M&A,EVENT00219,0,2016,2017,2018
000511,2017,52.66666667,52.66666666666666,52.66666667,52.66666667,5.266666667,3,1,Concern,EVENT00024,1,2016,2017,2018
000517,2016,64.25,64.25,64.25,64.25,6.425,4,1,Periodic,EVENT00015,1,2015,2016,2017
000518,2017,43.0,43.0,43.0,43.0,4.3,4,1,Concern,EVENT00209,1,2016,2017,2018
000558,2015,66.66666667,66.66666666666667,66.66666667,66.66666667,6.666666666999999,3,1,Concern,EVENT00007,1,2014,2015,2016
000565,2016,34.38461538,34.38461538461539,34.38461538,34.38461538,3.438461538,13,1,M&A,EVENT00175,1,2015,2016,2017
000567,2015,80.83333333,80.83333333333333,80.83333333,80.83333333,8.083333333,6,1,M&A,EVENT00107,1,2014,2015,2016
