firm_code,rri_year,n_events,AnnualRRI_mean,AnnualRRI_median_event,AnnualRRI_min_event,AnnualRRI10,total_questions,event_type
000010,2015,1,57.5,57.5,57.5,5.75,6,Concern
000558,2015,1,66.66666666666667,66.66666666666667,66.66666666666667,6.666666666666667,3,Concern
000567,2015,1,80.83333333333333,80.83333333333333,80.83333333333333,8.083333333333332,6,M&A
000612,2015,1,71.0,71.0,71.0,7.1,3,Concern
000659,2015,1,52.8,52.8,52.8,5.279999999999999,5,Concern
000911,2015,1,56.125,56.125,56.125,5.6125,8,Periodic
000938,2015,1,48.0,48.0,48.0,4.8,8,M&A
000972,2015,1,53.0,53.0,53.0,5.3,6,Periodic
002057,2015,1,41.75,41.75,41.75,4.175,4,M&A
002092,2015,1,70.14285714285714,70.14285714285714,70.14285714285714,7.014285714285714,7,M&A
002110,2015,1,40.0,40.0,40.0,4.0,4,M&A
002137,2015,2,57.09523809523809,57.09523809523809,55.333333333333336,5.709523809523809,10,M&A
002238,2015,1,52.5,52.5,52.5,5.25,4,M&A
002301,2015,1,73.42857142857143,73.42857142857143,73.42857142857143,7.342857142857143,7,M&A
002545,2015,1,100.0,100.0,100.0,10.0,12,M&A
002680,2015,1,66.25,66.25,66.25,6.625,4,M&A
002716,2015,1,88.42857142857143,88.42857142857143,88.42857142857143,8.842857142857143,7,M&A
300058,2015,1,58.27000000000001,58.27000000000001,58.27000000000001,5.827000000000001,9,M&A
300083,2015,1,71.72727272727273,71.72727272727273,71.72727272727273,7.172727272727274,11,M&A
300089,2015,1,69.5175,69.5175,69.5175,6.95175,8,M&A
300099,2015,1,38.84111111111111,38.84111111111111,38.84111111111111,3.8841111111111113,9,M&A
300131,2015,1,75.45454545454545,75.45454545454545,75.45454545454545,7.545454545454545,11,M&A
300182,2015,1,60.90076923076924,60.90076923076924,60.90076923076924,6.090076923076924,13,M&A
300343,2015,1,94.78571429,94.78571429,94.78571429,9.478571429,14,M&A
600061,2015,2,72.42857142857143,72.42857142857143,64.0,7.242857142857143,18,M&A
600073,2015,1,89.83333333,89.83333333,89.83333333,8.983333333000001,24,M&A
600091,2015,1,83.5,83.5,83.5,8.35,4,M&A
600136,2015,1,77.88888888888889,77.88888888888889,77.88888888888889,7.788888888888889,18,Other
600139,2015,1,74.5,74.5,74.5,7.45,4,M&A
600155,2015,1,87.875,87.875,87.875,8.7875,8,M&A
600165,2015,1,76.6923076923077,76.6923076923077,76.6923076923077,7.6692307692307695,13,M&A
600177,2015,1,39.75,39.75,39.75,3.975,4,M&A
600226,2015,1,65.3,65.3,65.3,6.529999999999999,20,Other
600462,2015,1,69.10526315789474,69.10526315789474,69.10526315789474,6.910526315789474,19,M&A
600482,2015,1,68.91666666666667,68.91666666666667,68.91666666666667,6.891666666666668,12,Other
600515,2015,1,73.0475,73.0475,73.0475,7.30475,12,Other
600522,2015,1,81.68421053,81.68421053,81.68421053,8.168421053,19,M&A
600572,2015,1,63.79684210526315,63.79684210526315,63.79684210526315,6.379684210526316,19,M&A
600602,2015,1,70.23529411764706,70.23529411764706,70.23529411764706,7.023529411764706,17,M&A
600614,2015,1,94.1875,94.1875,94.1875,9.41875,16,M&A
600651,2015,1,77.57142857,77.57142857,77.57142857,7.757142857,14,M&A
600736,2015,1,68.543,68.543,68.543,6.8543,10,Other
600739,2015,1,73.5,73.5,73.5,7.35,2,M&A
600754,2015,1,97.5,97.5,97.5,9.75,6,M&A
600828,2015,1,71.0,71.0,71.0,7.1,13,M&A
600879,2015,1,96.2,96.2,96.2,9.62,10,M&A
601727,2015,1,76.5,76.5,76.5,7.65,4,M&A
601877,2015,1,68.3157894736842,68.3157894736842,68.3157894736842,6.8315789473684205,19,M&A
601919,2015,1,69.85666666666667,69.85666666666667,69.85666666666667,6.985666666666667,6,M&A
603111,2015,1,80.47368421,80.47368421,80.47368421,8.047368421,19,Other
000007,2016,1,55.875,55.875,55.875,5.5875,8,Concern
000034,2016,1,65.0,65.0,65.0,6.5,4,M&A
000504,2016,1,69.33333333333333,69.33333333333333,69.33333333333333,6.933333333333333,3,Concern
000517,2016,1,64.25,64.25,64.25,6.425,4,Periodic
000565,2016,1,34.38461538461539,34.38461538461539,34.38461538461539,3.4384615384615387,13,M&A
000657,2016,1,99.53333333,99.53333333,99.53333333,9.953333333,15,M&A
000760,2016,1,84.5,84.5,84.5,8.45,12,Periodic
000813,2016,1,21.928571428571427,21.928571428571427,21.928571428571427,2.1928571428571426,14,M&A
000815,2016,1,73.0,73.0,73.0,7.3,2,Concern
000818,2016,1,48.6425,48.6425,48.6425,4.86425,4,Concern
000892,2016,1,20.0,20.0,20.0,2.0,9,M&A
002012,2016,1,67.51,67.51,67.51,6.751,7,Concern
002138,2016,1,86.0,86.0,86.0,8.6,1,Concern
002464,2016,1,65.89473684210526,65.89473684210526,65.89473684210526,6.589473684210526,19,M&A
002502,2016,1,63.82125,63.82125,63.82125,6.382125,8,M&A
002505,2016,1,47.66666666666666,47.66666666666666,47.66666666666666,4.766666666666666,6,Concern
002544,2016,1,68.58333333333333,68.58333333333333,68.58333333333333,6.8583333333333325,12,M&A
002610,2016,1,79.58333333333333,79.58333333333333,79.58333333333333,7.958333333333333,12,M&A
002685,2016,1,25.214285714285715,25.214285714285715,25.214285714285715,2.521428571428572,14,M&A
300028,2016,1,58.57142857,58.57142857,58.57142857,5.857142857,7,Periodic
300143,2016,1,81.0,81.0,81.0,8.1,6,M&A
300280,2016,1,66.0,66.0,66.0,6.6,2,Periodic
300355,2016,1,69.0,69.0,69.0,6.9,7,M&A
300410,2016,1,72.23363636363636,72.23363636363636,72.23363636363636,7.223363636363636,11,M&A
300496,2016,1,75.91857142857144,75.91857142857144,75.91857142857144,7.591857142857144,7,Periodic
600111,2016,1,66.2,66.2,66.2,6.62,10,Periodic
600113,2016,1,71.6923076923077,71.6923076923077,71.6923076923077,7.1692307692307695,13,Other
600120,2016,1,55.16666666666666,55.16666666666666,55.16666666666666,5.516666666666666,12,M&A
